"ctry_inv","p_year","count"
"AT",1990,4
"AT",1991,6
"AT",1992,5
"AT",1993,8
"AT",1994,8
"AT",1995,12
"AT",1996,8
"AT",1997,28
"AT",1998,10
"AT",1999,11
"AT",2000,24
"AT",2001,7
"AT",2002,24
"AT",2003,24
"AT",2004,21
"AT",2005,29
"AT",2006,36
"AT",2007,42
"AT",2008,37
"AT",2009,27
"AT",2010,37
"AT",2011,57
"AT",2012,34
"AT",2013,49
"AT",2014,79
"AT",2015,38
"AT",2016,27
"AT",2017,48
"AT",2018,2
"DE",1990,153
"DE",1991,165
"DE",1992,174
"DE",1993,178
"DE",1994,235
"DE",1995,269
"DE",1996,320
"DE",1997,343
"DE",1998,397
"DE",1999,433
"DE",2000,411
"DE",2001,403
"DE",2002,431
"DE",2003,472
"DE",2004,420
"DE",2005,641
"DE",2006,598
"DE",2007,555
"DE",2008,537
"DE",2009,512
"DE",2010,443
"DE",2011,452
"DE",2012,582
"DE",2013,573
"DE",2014,502
"DE",2015,345
"DE",2016,272
"DE",2017,122
"DE",2018,9
"FR",1990,57
"FR",1991,68
"FR",1992,85
"FR",1993,78
"FR",1994,87
"FR",1995,92
"FR",1996,135
"FR",1997,140
"FR",1998,104
"FR",1999,163
"FR",2000,189
"FR",2001,223
"FR",2002,323
"FR",2003,336
"FR",2004,355
"FR",2005,469
"FR",2006,504
"FR",2007,518
"FR",2008,479
"FR",2009,442
"FR",2010,465
"FR",2011,610
"FR",2012,524
"FR",2013,496
"FR",2014,470
"FR",2015,494
"FR",2016,315
"FR",2017,156
"FR",2018,2
"FR",2019,1
"IT",1990,7
"IT",1991,16
"IT",1992,30
"IT",1993,32
"IT",1994,35
"IT",1995,28
"IT",1996,34
"IT",1997,42
"IT",1998,20
"IT",1999,40
"IT",2000,28
"IT",2001,58
"IT",2002,33
"IT",2003,37
"IT",2004,35
"IT",2005,49
"IT",2006,53
"IT",2007,45
"IT",2008,97
"IT",2009,83
"IT",2010,96
"IT",2011,68
"IT",2012,55
"IT",2013,47
"IT",2014,116
"IT",2015,107
"IT",2016,70
"IT",2017,33
"IT",2018,2
